GENE_NAME,count_onto,count_mixed
ZNF441,0,1
ATXN1L,0,1
FBXO42,0,1
TPR,0,1
PRDM13,0,1
CREBL2,0,1
WIF1,0,1
ZNF99,0,1
DHX9,0,1
UBA6,0,1
INO80,0,1
HLA-DRB5,0,1
CBWD3,0,1
IK,0,1
PSMD7,0,1
KCNJ18,1,0
CHD5,0,1
MTOR,0,1
CASP14,0,1
PNMA6A,0,1
ORC6,0,1
NEUROD6,0,1
SERINC1,0,1
SGMS1,0,1
PRKX,0,1
ZNRF1,0,1
TRIOBP,0,1
NUDT21,0,1
ITGA1,0,1
ADCY1,0,1
IDO1,0,1
TBC1D3I,0,1
TNKS2,0,1
DMRT3,0,1
PRIM2,0,1
ANKRD20A4-ANKRD20A20P,0,1
SPATA31A5,0,1
GOLGA8J,0,1
NUFIP1,0,1
BICC1,0,1
CTNS,1,0
ASAH1,1,0
CACUL1,0,1
DNA2,0,1
CYTL1,0,1
CNGA1,1,0
FBN2,0,1
IL17A,0,1
CDH1,1,0
CDRT1,0,1
NBPF1,0,1
OR4F5,0,1
VEGFC,0,1
GCN1,0,1
ADAM9,0,1
ABRAXAS2,0,1
NBPF12,0,1
OR4F21,0,1
GJC2,0,1
SGK1,0,1
HAUS1,0,1
ANKRD36,0,1
BDP1,0,1
PDS5B,0,1
SOX14,0,1
EIF2B5,0,1
PHF20,0,1
ZNF8,0,1
CSF2RB,0,1
ANP32B,0,1
KNTC1,0,1
AP2A2,0,1
TUBA3C,0,1
KDM5A,0,1
SPTA1,0,1
SMC3,0,1
CEL,1,0
IQGAP1,0,1
CFH,1,0
EIF3D,0,1
COLGALT1,0,1
UNC5A,0,1
BUB1B,0,1
ASCC3,0,1
SREBF2,0,1
DMXL2,1,0
BRPF3,0,1
CASTOR2,0,1
MSH3,0,1
HIF1AN,0,1
APBB1IP,0,1
KMT2C,0,1
FAM161A,1,0
SFPQ,0,1
ZNF732,0,1
OR11H1,0,1
FAM83B,0,1
IKZF1,1,0
HMOX1,0,1
RASGRF2,0,1
GDF2,0,1
SHC3,0,1
NPIPB11,0,1
FRG2,0,1
SPATA31A1,0,1
CHST10,0,1
NBPF10,0,1
CACNG2,0,1
MYH9,0,1
GLI3,0,1
AIRE,0,1
NDUFAF5,1,0
PARP1,0,1
SNAPC1,0,1
COQ3,0,1
ZFYVE26,0,1
RB1,0,1
BMP3,0,1
MED25,0,1
PRSS2,1,0
ZNF727,0,1
SCN4A,1,0
FBLN1,0,1
EP400,0,1
GTSE1,0,1
RAD50,0,1
PRSS1,2,0
KIF1B,2,0
TSHR,1,0
DCC,0,1
ZMYM5,0,1
MACF1,0,1
THAP12,0,1
HECTD3,0,1
CSTF3,0,1
FREM2,0,1
KDR,0,1
NUTM2D,0,1
SUPT16H,0,1
USP17L3,0,1
MAPK8IP2,0,1
CELSR1,0,1
COL4A1,0,1
TVP23B,0,1
PTPRQ,0,1
OR4F17,0,1
CEP290,0,1
SAMD9,1,0
TAF8,0,1
HLA-DQB1,2,0
RP1L1,2,0
ZNF280C,0,1
PXK,0,1
TENM3,0,1
NEIL3,0,1
HIRA,0,1
LGALS1,0,1
SPEN,0,1
E2F7,0,1
RAD21L1,0,1
KLF3,0,1
CCND1,0,1
ITGB4,1,0
TSPAN5,0,1
HSD17B4,1,0
TXN2,0,1
GOLGA8IP,0,1
TFAP2D,0,1
PRKCI,0,1
GATD3B,0,1
APPL1,0,1
POLR3A,0,1
SYMPK,0,1
FASN,1,0
KIN,0,1
NOTCH3,0,1
HUWE1,0,1
NUAK1,0,1
PDS5A,0,1
CSNK2A2,0,1
PRDM6,0,1
VMAC,1,0
SRPRA,1,0
AQP12A,0,1
BRCA2,1,1
TNKS,0,1
CC2D1A,0,1
CACNA1E,1,0
TMEM74,0,1
WNT8B,0,1
CNTNAP3B,0,1
RBP3,0,1
SLC7A5,0,1
PPIAL4A,0,1
DRG1,0,1
TPRX1,0,1
SHANK3,0,1
SCGB1C2,0,1
MSH4,0,1
ESCO2,0,1
NR2F6,0,1
MCM5,0,1
STOX2,0,1
PSME4,0,1
BRIP1,0,1
MPHOSPH8,0,1
SPATA31A7,0,1
PHF5A,0,1
RBX1,0,1
PRKCA,0,1
METTL2B,0,1
WBP2NL,0,1
PARP4,0,1
SULT1A4,0,1
RFX6,0,1
POLQ,0,1
ZBED4,0,1
AGO4,0,1
CEP135,0,1
GNAQ,0,1
KIF5C,0,1
MCM9,0,1
KIF11,0,1
STAG1,0,1
FOXD4L5,0,1
