epoch,split,loss,contrast,tda,L_sb,L_st,L_bt,r1_seq2bio,r1_bio2seq,r5_seq2bio,r5_bio2seq,r10_seq2bio,r10_bio2seq,r1_seq2bio_multi,r1_bio2seq_multi,r5_seq2bio_multi,r5_bio2seq_multi,r10_seq2bio_multi,r10_bio2seq_multi
1,train,4.784180068671936,4.784180068671936,0.0,4.784180068671936,0.0,0.0,,,,,,,,,,,,
1,val,4.227501460484096,4.227501460484096,0.0,4.227501460484096,0.0,0.0,0.027777778250830516,0.02182539871760777,0.11507936034883771,0.1091269850730896,0.19444445201328822,0.22222222600664412,0.027777780379567827,0.02182539871760777,0.11507936886378697,0.1091269850730896,0.19444445201328822,0.22222222600664412
2,train,4.660644912421936,4.660644912421936,0.0,4.660645293593872,0.0,0.0,,,,,,,,,,,,
2,val,4.146119253976004,4.146119253976004,0.0,4.14611952645438,0.0,0.0,0.04960317271096366,0.03968254157475063,0.12896825586046493,0.13293651172092982,0.23015873772757395,0.23015873772757395,0.04960317271096366,0.03968254157475063,0.12896825586046493,0.13293651172092982,0.23015872069767543,0.23015873772757395
3,train,4.603995901639344,4.603995901639344,0.0,4.603995901639344,0.0,0.0,,,,,,,,,,,,
3,val,4.098225184849331,4.098225184849331,0.0,4.098225457327707,0.0,0.0,0.04365079317774091,0.04563492110797337,0.1388888955116272,0.17261905329568045,0.24801586355481828,0.2539682558604649,0.04365079317774091,0.045634925365448,0.13888888699667795,0.17261905329568045,0.2480158805847168,0.2539682558604649
4,train,4.573995002073575,4.573995002073575,0.0,4.573995002073575,0.0,0.0,,,,,,,,,,,,
4,val,4.07483400617327,4.07483400617327,0.0,4.07483400617327,0.0,0.0,0.04365079317774091,0.05158730064119611,0.14285715988704137,0.17261905329568045,0.26984127930232454,0.27579363754817415,0.04365079743521554,0.05158730489867074,0.14285714285714285,0.17261907032557897,0.26984126227242605,0.2757936545780727
5,train,4.548461056425644,4.548461056425644,0.0,4.5484606752537085,0.0,0.0,,,,,,,,,,,,
5,val,4.049122129167829,4.049122129167829,0.0,4.049122401646206,0.0,0.0,0.0535714328289032,0.05357142857142857,0.13095238379069737,0.16666666099003383,0.2599206141063145,0.26388886996677946,0.05357142857142857,0.0535714328289032,0.13095237527574813,0.16666667801993235,0.25992063113621305,0.26388890402657644
6,train,4.5289968926863775,4.5289968926863775,0.0,4.5289968926863775,0.0,0.0,,,,,,,,,,,,
